HIP_number,Name
32578,32578
32607,32607
32759,32759
32761,32761
32768,altaleban
32844,32844
32855,32855
33018,33018
33092,33092
33152,33152
33160,33160
33202,33202
33302,33302
33347,33347
33357,33357
33449,33449
33485,33485
33579,adhara
33694,33694
33856,unurgunite
33971,33971
33977,33977
34045,muliphein
34059,34059
34088,mekbuda
34444,wezen
34481,34481
34495,34495
34622,34622
34693,34693
34752,34752
34769,34769
34834,34834
34899,34899
34922,34922
34981,34981
35020,35020
35037,35037
35205,35205
35210,35210
35228,35228
35264,35264
35350,35350
35363,35363
35412,35412
35415,35415
35550,wasat
35727,35727
35904,aludra
36041,36041
36046,36046
36145,36145
36188,gomeisa
36284,36284
36366,36366
36377,hadir
36425,36425
36431,36431
36514,36514
36547,36547
36773,36773
36795,36795
36850,castor a
36917,36917
36942,36942
36962,36962
37096,37096
37173,37173
37229,markeb
37265,jishui
37279,procyon a
37297,37297
37379,37379
37447,37447
37504,37504
37609,37609
37629,37629
37648,37648
37677,37677
37740,37740
37819,37819
37826,pollux b
37908,37908
38070,38070
38089,38089
38164,38164
38170,azmidi
38414,38414
38455,38455
38500,38500
38518,38518
38538,38538
38827,38827
38835,38835
38901,38901
38957,38957
39079,39079
39095,39095
39138,39138
39211,39211
39311,39311
39424,39424
39429,naos
39757,tureis
39794,39794
39847,39847
39863,39863
39903,39903
39906,39906
39953,regor
40084,40084
40091,40091
40096,40096
40167,tegmine
40259,40259
40274,40274
40326,40326
40526,40526
40702,40702
40706,40706
40888,40888
40945,40945
41037,avior
41039,41039
41075,alsciaukat
41307,41307
41312,41312
41704,muscida
42134,42134
42312,42312
42313,42313
42402,minchir
42483,42483
42509,42509
42515,42515
42527,42527
42536,42536
42568,42568
42570,42570
42624,42624
42662,42662
42726,42726
42799,42799
42806,asellus borealis
42828,42828
42835,42835
42884,42884
42911,asellus australis
42913,alsephina
43023,43023
43067,43067
43103,43103
43105,43105
43109,ashlesha
43234,43234
43347,43347
43409,43409
43783,43783
